file,energy_before_eV,energy_after_eV,natoms,relaxed_cif
struct_0495.cif,-69.858795,-70.70055,9,struct_0495_relaxed.cif
struct_0496.cif,-70.04902,-70.28905,10,struct_0496_relaxed.cif
struct_0497.cif,-80.06687,-80.06916,10,struct_0497_relaxed.cif
struct_0498.cif,-80.02843,-80.03724,10,struct_0498_relaxed.cif
struct_0499.cif,-43.724434,-43.870308,6,struct_0499_relaxed.cif
struct_0500.cif,-52.28585,-52.389153,8,struct_0500_relaxed.cif
struct_0501.cif,-120.942314,-120.9967,16,struct_0501_relaxed.cif
struct_0502.cif,-125.61365,-125.68003,16,struct_0502_relaxed.cif
struct_0503.cif,-33.459454,-33.60937,6,struct_0503_relaxed.cif
struct_0504.cif,-52.201607,-52.201996,7,struct_0504_relaxed.cif
struct_0505.cif,-67.22266,-67.50694,12,struct_0505_relaxed.cif
struct_0506.cif,-79.86255,-79.87069,10,struct_0506_relaxed.cif
struct_0507.cif,-69.21756,-69.24274,9,struct_0507_relaxed.cif
struct_0508.cif,-43.71186,-43.79656,6,struct_0508_relaxed.cif
struct_0509.cif,-80.06703,-80.06971,10,struct_0509_relaxed.cif
struct_0510.cif,-41.786957,-41.829185,6,struct_0510_relaxed.cif
struct_0511.cif,-28.029104,-28.042793,4,struct_0511_relaxed.cif
struct_0512.cif,-123.08832,-123.15848,16,struct_0512_relaxed.cif
struct_0513.cif,-74.00312,-74.773094,10,struct_0513_relaxed.cif
struct_0514.cif,-69.63583,-69.662415,9,struct_0514_relaxed.cif
struct_0515.cif,-96.64533,-96.66731,12,struct_0515_relaxed.cif
struct_0516.cif,-92.270905,-92.27673,12,struct_0516_relaxed.cif
struct_0517.cif,-136.90436,-137.02487,18,struct_0517_relaxed.cif
struct_0518.cif,-122.74785,-122.83943,16,struct_0518_relaxed.cif
struct_0519.cif,-57.73756,-57.826828,8,struct_0519_relaxed.cif
struct_0520.cif,-94.69511,-95.24607,13,struct_0520_relaxed.cif
struct_0521.cif,-78.9176,-79.03008,10,struct_0521_relaxed.cif
struct_0522.cif,-78.86912,-78.90651,10,struct_0522_relaxed.cif
struct_0523.cif,-82.78968,-82.809074,11,struct_0523_relaxed.cif
struct_0524.cif,-154.50636,-157.7848,20,struct_0524_relaxed.cif
struct_0525.cif,-118.727325,-118.73855,16,struct_0525_relaxed.cif
struct_0526.cif,-125.81684,-126.11835,16,struct_0526_relaxed.cif
struct_0527.cif,-41.794327,-41.839733,6,struct_0527_relaxed.cif
struct_0528.cif,-28.474876,-28.475933,4,struct_0528_relaxed.cif
struct_0529.cif,-159.76923,-159.78253,20,struct_0529_relaxed.cif
struct_0530.cif,-28.479244,-28.479683,4,struct_0530_relaxed.cif
struct_0531.cif,-88.15308,-88.47741,12,struct_0531_relaxed.cif
struct_0532.cif,-28.477661,-28.477783,4,struct_0532_relaxed.cif
struct_0533.cif,-92.26859,-92.27634,12,struct_0533_relaxed.cif
struct_0534.cif,-134.92664,-135.00912,18,struct_0534_relaxed.cif
struct_0535.cif,-69.2103,-69.23285,9,struct_0535_relaxed.cif
struct_0536.cif,-28.204134,-28.221025,4,struct_0536_relaxed.cif
struct_0537.cif,-56.952953,-56.95593,8,struct_0537_relaxed.cif
struct_0538.cif,-92.27839,-92.281044,12,struct_0538_relaxed.cif
struct_0539.cif,-28.474129,-28.47641,4,struct_0539_relaxed.cif
struct_0540.cif,-28.447374,-28.45283,4,struct_0540_relaxed.cif
struct_0541.cif,-28.44391,-28.444708,4,struct_0541_relaxed.cif
struct_0542.cif,-133.9981,-134.02196,16,struct_0542_relaxed.cif
struct_0543.cif,-69.211586,-69.23676,9,struct_0543_relaxed.cif
struct_0544.cif,-143.55957,-145.42073,18,struct_0544_relaxed.cif
struct_0545.cif,-104.226616,-104.26017,14,struct_0545_relaxed.cif
struct_0546.cif,-80.06464,-80.067795,10,struct_0546_relaxed.cif
struct_0547.cif,-111.016785,-113.76739,16,struct_0547_relaxed.cif
struct_0548.cif,-160.07552,-160.08492,20,struct_0548_relaxed.cif
struct_0549.cif,-158.33672,-158.45137,20,struct_0549_relaxed.cif
struct_0550.cif,-17.396637,-17.396664,3,struct_0550_relaxed.cif
struct_0551.cif,-79.954636,-80.05631,10,struct_0551_relaxed.cif
struct_0552.cif,-42.629093,-42.686092,6,struct_0552_relaxed.cif
struct_0553.cif,-105.72825,-105.854034,16,struct_0553_relaxed.cif
struct_0554.cif,-28.24009,-28.255295,4,struct_0554_relaxed.cif
struct_0555.cif,-58.751892,-58.76557,8,struct_0555_relaxed.cif
struct_0556.cif,-28.443981,-28.446789,4,struct_0556_relaxed.cif
struct_0557.cif,-69.88931,-69.891685,9,struct_0557_relaxed.cif
struct_0558.cif,-79.930145,-79.95531,10,struct_0558_relaxed.cif
struct_0559.cif,-82.82961,-82.90377,12,struct_0559_relaxed.cif
struct_0560.cif,-122.09319,-122.167656,16,struct_0560_relaxed.cif
struct_0561.cif,-50.197403,-50.358475,8,struct_0561_relaxed.cif
struct_0562.cif,-52.19832,-52.198986,7,struct_0562_relaxed.cif
struct_0563.cif,-83.58279,-83.76494,12,struct_0563_relaxed.cif
struct_0564.cif,-95.818726,-96.42298,15,struct_0564_relaxed.cif
struct_0565.cif,-28.476719,-28.478516,4,struct_0565_relaxed.cif
struct_0566.cif,-58.827282,-58.904293,8,struct_0566_relaxed.cif
struct_0567.cif,-58.54577,-58.640057,8,struct_0567_relaxed.cif
struct_0568.cif,-92.27895,-92.28375,12,struct_0568_relaxed.cif
